  193,  100,17674
    1,    5, 3435
   17,    4, 1326
    8,    3,   90
   94,    2, 1177
   94,    2, 2681
   16,   13,  526
   83,   26, 1213
   84,    3, 1182
   57,    1, 3900
  114,    9, 2114
   79,   10, 2409
  106,   36,  260
   69,   94,  681
   83,    7, 1524
   83,   14, 2160
  101,   15, 5904
  113,   71, 7123
  108,   50, 1089
  125,   18, 1351
  116,   39, 1585
   24,   20, 4153
    9,   21, 5890
   24,   96, 6680
    0,  106,10169
   22,    8,  268
   83,   11, 3830
   36,   25,  331
   35,   31,  285
  106,   28,  302
    9,   66,  399
   58,   12,  179
  110,   32,  656
  110,   32, 1125
  118,   33, 1040
   33,  102, 5285
  104,   27,  382
   32,   29,  319
   23,    6,  648
  116,   93, 2299
   75,   34, 1041
  143,  113, 5698
  110,   55, 1025
  110,   46, 1117
  108,   65, 1527
  117,   42, 1080
  124,   45, 1214
  117,   44, 1452
  118,   59, 1700
  117,   73, 1796
  117,   60,  926
  117,   56, 1541
  118,   43, 1279
  110,   63, 1276
  118,   47, 1304
  110,   40, 1043
  117,   57, 1694
  108,   61, 1698
  117,   49, 1753
  117,   51, 1707
  108,   38,  702
  108,   67, 1711
  144,   19, 1875
  118,   52, 1079
  118,   53, 1256
  118,   64, 1257
   56,   68,  407
  118,   54, 1393
  120,   72,  387
  124,   58, 1891
  124,   74, 2048
   99,   16,  910
   32,   37,  310
  124,   48, 1828
  124,   69, 1879
  121,   76, 2229
  121,   77, 2193
  124,   70, 2032
  131,   62, 2758
  230,   14, 6553
  135,   41, 1365
  104,   82, 2712
  126,   92, 2663
    4,   97, 2978
  121,   75, 2800
  122,   81, 2684
  122,   87, 3033
  122,   88, 2923
  122,   85, 2785
  126,   75, 2328
  121,    8, 2049
  122,   86, 3267
  104,   89, 2572
   93,   19, 3332
   95,   30,  524
  122,   91, 3308
   38,   22, 5041
  122,   95, 3683
  132,  107, 5863
  122,   97, 3821
  171,   78, 4471
  122,   99, 4314
  139,   80, 1310
  132,  105, 6712
  125,  107, 4788
  132,   98, 6358
  105,  101, 9125
  125,  101, 4783
  121,   99, 3836
  128,  112, 7555
  154,   84, 4300
  130,  109, 8550
  132,  103, 7074
  136,    6, 3389
  130,  111, 9037
  125,  104, 5359
  172,  110,12363
  154,   97, 3739
  154,   95, 3144
  130,  109, 8007
  137,  114, 9592
  154,  108, 5876
  138,  115, 5931
  137,  120,10326
  154,  108, 4245
  138,  115, 7356
  138,  101, 4512
  143,  123,13453
  137,  123,10562
  137,  128,11662
  142,  128,11464
  175,  136,14980
  142,  119, 9502
  172,  116,16600
  148,  127,14324
  148,  134,15238
  150,  132, 9870
  143,  129,12965
  147,  119,10521
  153,  133,15853
  158,  134,17731
  149,  135,16357
  153,  128,12984
  149,  137,14716
  142,  120,13233
  157,  141,16926
  173,  133,23084
  164,  132,14784
  149,  141,16968
  159,  141,17498
  155,  140,19737
  166,  139,18772
  158,  141,18706
  166,  130,15986
  179,  122, 8781
  167,  150,21659
  174,  150,21825
  165,  150,21367
  161,  152,19953
  161,  148,18638
  175,  151,21881
  167,  152,20465
  174,  150,22136
  186,  160,24937
  181,  138,18025
  176,  158,22343
  180,  150,22763
  165,  158,21672
  200,  133,28066
  184,  160,25120
  184,  146,23692
  202,  133,21204
  183,  151,22755
  188,  160,26581
  176,  157,23376
  180,  155,23913
  175,  161,23210
  189,  146,26073
  195,  146,28384
  198,  133,28452
  185,  156,24491
  179,  138,21192
  189,  160,25838
  195,  160,26101
  189,  174,25667
  184,  162,24956
  184,  169,25947
  189,  147,28440
  191,  163,26953
  188,  166,26556
  191,  146,27306
  192,  169,27496
  194,  163,27834
  201,  138,28607
  196,  182,28311
  200,  177,28812
  197,  182,28465
  195,  169,28569
  238,  146,30163
  202,  177,29460
  199,  190,29219
  210,  160,30328
  203,  177,29226
  205,  190,29506
  211,  190,30024
  206,  190,29758
  204,  192,29999
  208,  190,30334
  212,  173,30412
  214,  178,30488
  249,  171,31220
  207,  190,30249
  209,  190,30426
  217,  195,30790
  216,  190,30642
  213,  168,30763
  215,  190,30621
  219,  183,30976
  245,  249,31639
  231,  178,31111
  242,  168,31732
  232,  168,31969
  233,  178,31138
  229,  168,31650
  239,  171,31372
  254,  215,31770
  243,  168,31242
  222,  168,31081
  237,  195,31160
  236,  190,31617
  227,  196,31217
  230,  178,31037
  241,  168,31900
  228,  195,31283
  235,  168,31519
  223,  178,31508
  240,  168,31751
  238,  190,31314
  224,  168,31086
  226,  171,31147
  220,  171,31747
  244,  168,31934
  221,  168,31829
  234,  168,31140
  247,  168,32011
  250,  179,32044
  225,  183,32144
  248,  179,31920
  248,  179,32459
  253,  169,31351
  246,  189,32644
  252,  179,32715
  251,  226,32722
  251,  239,31829
  249,  223,32766
  252,  237,32766
