211112: 561, zeros: 561, ones: 0, pp: 1.000000, history: 00000000000000000000
211113: 496, zeros: 496, ones: 0, pp: 1.000000, history: 00000000000000000000
211114: 383, zeros: 383, ones: 0, pp: 1.000000, history: 00000000000000000000
211115: 276, zeros: 276, ones: 0, pp: 1.000000, history: 00000000000000000000
211116: 467, zeros: 467, ones: 0, pp: 1.000000, history: 00000000000000000000
211117: 218, zeros: 218, ones: 0, pp: 1.000000, history: 00000000000000000000
211120: 174, zeros: 174, ones: 0, pp: 1.000000, history: 00000000000000000000
211121: 243, zeros: 243, ones: 0, pp: 1.000000, history: 00000000000000000000
211130: 837, zeros: 837, ones: 0, pp: 1.000000, history: 00000000000000000000
211131: 525, zeros: 525, ones: 0, pp: 1.000000, history: 00000000000000000000
211134: 305, zeros: 305, ones: 0, pp: 1.000000, history: 00000000000000000000
211135: 535, zeros: 535, ones: 0, pp: 1.000000, history: 00000000000000000000
211136: 305, zeros: 305, ones: 0, pp: 1.000000, history: 00000000000000000000
211137: 572, zeros: 572, ones: 0, pp: 1.000000, history: 00000000000000000000
211143: 175, zeros: 175, ones: 0, pp: 1.000000, history: 00000000000000000000
211144: 488, zeros: 488, ones: 0, pp: 1.000000, history: 00000000000000000000
211150: 381, zeros: 381, ones: 0, pp: 1.000000, history: 00000000000000000000
211152: 275, zeros: 275, ones: 0, pp: 1.000000, history: 00000000000000000000
211153: 1026, zeros: 1026, ones: 0, pp: 1.000000, history: 00000000000000000000
211154: 1561, zeros: 1561, ones: 0, pp: 1.000000, history: 00000000000000000000
211155: 151, zeros: 151, ones: 0, pp: 1.000000, history: 00000000000000000000
211157: 899, zeros: 899, ones: 0, pp: 1.000000, history: 00000000000000000000
211171: 174, zeros: 174, ones: 0, pp: 1.000000, history: 00000000000000000000
215422: 691, zeros: 691, ones: 0, pp: 1.000000, history: 00000000000000000000
216010: 8557, zeros: 8557, ones: 0, pp: 1.000000, history: 00000000000000000000
216017: 715, zeros: 715, ones: 0, pp: 1.000000, history: 00000000000000000000
216022: 967, zeros: 967, ones: 0, pp: 1.000000, history: 00000000000000000000
216410: 1253, zeros: 1253, ones: 0, pp: 1.000000, history: 00000000000000000000
216422: 138, zeros: 138, ones: 0, pp: 1.000000, history: 00000000000000000000
216435: 1367, zeros: 1367, ones: 0, pp: 1.000000, history: 00000000000000000000
216530: 107, zeros: 107, ones: 0, pp: 1.000000, history: 00000000000000000000
217010: 3696, zeros: 3696, ones: 0, pp: 1.000000, history: 00000000000000000000
217011: 195, zeros: 195, ones: 0, pp: 1.000000, history: 00000000000000000000
217017: 1066, zeros: 1066, ones: 0, pp: 1.000000, history: 00000000000000000000
217022: 2072, zeros: 2072, ones: 0, pp: 1.000000, history: 00000000000000000000
235010: 194, zeros: 194, ones: 0, pp: 1.000000, history: 00000000000000000000
235410: 673, zeros: 673, ones: 0, pp: 1.000000, history: 00000000000000000000
236140: 414, zeros: 414, ones: 0, pp: 1.000000, history: 00000000000000000000
237022: 473, zeros: 473, ones: 0, pp: 1.000000, history: 00000000000000000000
237410: 317, zeros: 317, ones: 0, pp: 1.000000, history: 00000000000000000000
237417: 385, zeros: 385, ones: 0, pp: 1.000000, history: 00000000000000000000
240410: 219, zeros: 219, ones: 0, pp: 1.000000, history: 00000000000000000000
240536: 239, zeros: 239, ones: 0, pp: 1.000000, history: 00000000000000000000
241111: 642, zeros: 642, ones: 0, pp: 1.000000, history: 00000000000000000000
241137: 362, zeros: 362, ones: 0, pp: 1.000000, history: 00000000000000000000
241155: 269, zeros: 269, ones: 0, pp: 1.000000, history: 00000000000000000000
241511: 153, zeros: 153, ones: 0, pp: 1.000000, history: 00000000000000000000
241537: 191, zeros: 191, ones: 0, pp: 1.000000, history: 00000000000000000000
242556: 111, zeros: 111, ones: 0, pp: 1.000000, history: 00000000000000000000
243111: 185, zeros: 185, ones: 0, pp: 1.000000, history: 00000000000000000000
243511: 377, zeros: 377, ones: 0, pp: 1.000000, history: 00000000000000000000
244410: 3667, zeros: 3667, ones: 0, pp: 1.000000, history: 00000000000000000000
244417: 212, zeros: 212, ones: 0, pp: 1.000000, history: 00000000000000000000
244422: 380, zeros: 380, ones: 0, pp: 1.000000, history: 00000000000000000000
244434: 139, zeros: 139, ones: 0, pp: 1.000000, history: 00000000000000000000
244512: 1221, zeros: 1221, ones: 0, pp: 1.000000, history: 00000000000000000000
244513: 1562, zeros: 1562, ones: 0, pp: 1.000000, history: 00000000000000000000
244514: 2418, zeros: 2418, ones: 0, pp: 1.000000, history: 00000000000000000000
244516: 313, zeros: 313, ones: 0, pp: 1.000000, history: 00000000000000000000
244517: 806, zeros: 806, ones: 0, pp: 1.000000, history: 00000000000000000000
244531: 2465, zeros: 2465, ones: 0, pp: 1.000000, history: 00000000000000000000
244533: 1007, zeros: 1007, ones: 0, pp: 1.000000, history: 00000000000000000000
244534: 3085, zeros: 3085, ones: 0, pp: 1.000000, history: 00000000000000000000
244535: 1225, zeros: 1225, ones: 0, pp: 1.000000, history: 00000000000000000000
244536: 9367, zeros: 9367, ones: 0, pp: 1.000000, history: 00000000000000000000
244550: 741, zeros: 741, ones: 0, pp: 1.000000, history: 00000000000000000000
244552: 4259, zeros: 4259, ones: 0, pp: 1.000000, history: 00000000000000000000
244553: 5004, zeros: 5004, ones: 0, pp: 1.000000, history: 00000000000000000000
244554: 6301, zeros: 6301, ones: 0, pp: 1.000000, history: 00000000000000000000
244555: 355, zeros: 355, ones: 0, pp: 1.000000, history: 00000000000000000000
244556: 1205, zeros: 1205, ones: 0, pp: 1.000000, history: 00000000000000000000
244557: 394, zeros: 394, ones: 0, pp: 1.000000, history: 00000000000000000000
244571: 1419, zeros: 1419, ones: 0, pp: 1.000000, history: 00000000000000000000
245111: 1205, zeros: 1205, ones: 0, pp: 1.000000, history: 00000000000000000000
245115: 2841, zeros: 2841, ones: 0, pp: 1.000000, history: 00000000000000000000
245131: 262, zeros: 262, ones: 0, pp: 1.000000, history: 00000000000000000000
245134: 957, zeros: 957, ones: 0, pp: 1.000000, history: 00000000000000000000
245137: 935, zeros: 935, ones: 0, pp: 1.000000, history: 00000000000000000000
245152: 903, zeros: 903, ones: 0, pp: 1.000000, history: 00000000000000000000
245153: 179, zeros: 179, ones: 0, pp: 1.000000, history: 00000000000000000000
245155: 806, zeros: 806, ones: 0, pp: 1.000000, history: 00000000000000000000
245171: 735, zeros: 735, ones: 0, pp: 1.000000, history: 00000000000000000000
245511: 1383, zeros: 1383, ones: 0, pp: 1.000000, history: 00000000000000000000
245513: 233, zeros: 233, ones: 0, pp: 1.000000, history: 00000000000000000000
245515: 2263, zeros: 2263, ones: 0, pp: 1.000000, history: 00000000000000000000
245530: 2276, zeros: 2276, ones: 0, pp: 1.000000, history: 00000000000000000000
245531: 593, zeros: 593, ones: 0, pp: 1.000000, history: 00000000000000000000
245533: 849, zeros: 849, ones: 0, pp: 1.000000, history: 00000000000000000000
245534: 632, zeros: 632, ones: 0, pp: 1.000000, history: 00000000000000000000
245537: 2287, zeros: 2287, ones: 0, pp: 1.000000, history: 00000000000000000000
245552: 439, zeros: 439, ones: 0, pp: 1.000000, history: 00000000000000000000
245554: 1017, zeros: 1017, ones: 0, pp: 1.000000, history: 00000000000000000000
245555: 451, zeros: 451, ones: 0, pp: 1.000000, history: 00000000000000000000
246010: 13255, zeros: 13255, ones: 0, pp: 1.000000, history: 00000000000000000000
246017: 121, zeros: 121, ones: 0, pp: 1.000000, history: 00000000000000000000
246022: 1340, zeros: 1340, ones: 0, pp: 1.000000, history: 00000000000000000000
246034: 1197, zeros: 1197, ones: 0, pp: 1.000000, history: 00000000000000000000
246035: 121, zeros: 121, ones: 0, pp: 1.000000, history: 00000000000000000000
246036: 740, zeros: 740, ones: 0, pp: 1.000000, history: 00000000000000000000
246111: 509, zeros: 509, ones: 0, pp: 1.000000, history: 00000000000000000000
246114: 464, zeros: 464, ones: 0, pp: 1.000000, history: 00000000000000000000
246115: 2649, zeros: 2649, ones: 0, pp: 1.000000, history: 00000000000000000000
246117: 181, zeros: 181, ones: 0, pp: 1.000000, history: 00000000000000000000
246131: 1582, zeros: 1582, ones: 0, pp: 1.000000, history: 00000000000000000000
246134: 337, zeros: 337, ones: 0, pp: 1.000000, history: 00000000000000000000
246136: 184, zeros: 184, ones: 0, pp: 1.000000, history: 00000000000000000000
246137: 1421, zeros: 1421, ones: 0, pp: 1.000000, history: 00000000000000000000
246152: 504, zeros: 504, ones: 0, pp: 1.000000, history: 00000000000000000000
246153: 604, zeros: 604, ones: 0, pp: 1.000000, history: 00000000000000000000
246155: 239, zeros: 239, ones: 0, pp: 1.000000, history: 00000000000000000000
246157: 350, zeros: 350, ones: 0, pp: 1.000000, history: 00000000000000000000
246171: 483, zeros: 483, ones: 0, pp: 1.000000, history: 00000000000000000000
246410: 20452, zeros: 20452, ones: 0, pp: 1.000000, history: 00000000000000000000
246417: 318, zeros: 318, ones: 0, pp: 1.000000, history: 00000000000000000000
246422: 2104, zeros: 2104, ones: 0, pp: 1.000000, history: 00000000000000000000
246434: 1616, zeros: 1616, ones: 0, pp: 1.000000, history: 00000000000000000000
246435: 136, zeros: 136, ones: 0, pp: 1.000000, history: 00000000000000000000
246436: 1232, zeros: 1232, ones: 0, pp: 1.000000, history: 00000000000000000000
246511: 3748, zeros: 3748, ones: 0, pp: 1.000000, history: 00000000000000000000
246512: 643, zeros: 643, ones: 0, pp: 1.000000, history: 00000000000000000000
246513: 1234, zeros: 1234, ones: 0, pp: 1.000000, history: 00000000000000000000
246514: 6207, zeros: 6207, ones: 0, pp: 1.000000, history: 00000000000000000000
246515: 2376, zeros: 2376, ones: 0, pp: 1.000000, history: 00000000000000000000
246516: 547, zeros: 547, ones: 0, pp: 1.000000, history: 00000000000000000000
246517: 320, zeros: 320, ones: 0, pp: 1.000000, history: 00000000000000000000
246530: 163, zeros: 163, ones: 0, pp: 1.000000, history: 00000000000000000000
246531: 811, zeros: 811, ones: 0, pp: 1.000000, history: 00000000000000000000
246534: 2740, zeros: 2740, ones: 0, pp: 1.000000, history: 00000000000000000000
246535: 1199, zeros: 1199, ones: 0, pp: 1.000000, history: 00000000000000000000
246536: 5889, zeros: 5889, ones: 0, pp: 1.000000, history: 00000000000000000000
246537: 157, zeros: 157, ones: 0, pp: 1.000000, history: 00000000000000000000
246550: 922, zeros: 922, ones: 0, pp: 1.000000, history: 00000000000000000000
246552: 9974, zeros: 9974, ones: 0, pp: 1.000000, history: 00000000000000000000
246553: 4176, zeros: 4176, ones: 0, pp: 1.000000, history: 00000000000000000000
246554: 1749, zeros: 1749, ones: 0, pp: 1.000000, history: 00000000000000000000
246556: 1113, zeros: 1113, ones: 0, pp: 1.000000, history: 00000000000000000000
246557: 567, zeros: 567, ones: 0, pp: 1.000000, history: 00000000000000000000
246570: 619, zeros: 619, ones: 0, pp: 1.000000, history: 00000000000000000000
246571: 812, zeros: 812, ones: 0, pp: 1.000000, history: 00000000000000000000
247010: 4232, zeros: 4232, ones: 0, pp: 1.000000, history: 00000000000000000000
247022: 366, zeros: 366, ones: 0, pp: 1.000000, history: 00000000000000000000
247111: 869, zeros: 869, ones: 0, pp: 1.000000, history: 00000000000000000000
247115: 1019, zeros: 1019, ones: 0, pp: 1.000000, history: 00000000000000000000
247116: 457, zeros: 457, ones: 0, pp: 1.000000, history: 00000000000000000000
247131: 796, zeros: 796, ones: 0, pp: 1.000000, history: 00000000000000000000
247134: 412, zeros: 412, ones: 0, pp: 1.000000, history: 00000000000000000000
247137: 2024, zeros: 2024, ones: 0, pp: 1.000000, history: 00000000000000000000
247152: 888, zeros: 888, ones: 0, pp: 1.000000, history: 00000000000000000000
247154: 409, zeros: 409, ones: 0, pp: 1.000000, history: 00000000000000000000
247155: 473, zeros: 473, ones: 0, pp: 1.000000, history: 00000000000000000000
247410: 3840, zeros: 3840, ones: 0, pp: 1.000000, history: 00000000000000000000
247422: 475, zeros: 475, ones: 0, pp: 1.000000, history: 00000000000000000000
247434: 325, zeros: 325, ones: 0, pp: 1.000000, history: 00000000000000000000
247436: 218, zeros: 218, ones: 0, pp: 1.000000, history: 00000000000000000000
247511: 820, zeros: 820, ones: 0, pp: 1.000000, history: 00000000000000000000
247515: 1357, zeros: 1357, ones: 0, pp: 1.000000, history: 00000000000000000000
247517: 295, zeros: 295, ones: 0, pp: 1.000000, history: 00000000000000000000
247530: 1759, zeros: 1759, ones: 0, pp: 1.000000, history: 00000000000000000000
247531: 536, zeros: 536, ones: 0, pp: 1.000000, history: 00000000000000000000
247534: 347, zeros: 347, ones: 0, pp: 1.000000, history: 00000000000000000000
247536: 163, zeros: 163, ones: 0, pp: 1.000000, history: 00000000000000000000
247537: 749, zeros: 749, ones: 0, pp: 1.000000, history: 00000000000000000000
247552: 739, zeros: 739, ones: 0, pp: 1.000000, history: 00000000000000000000
247553: 211, zeros: 211, ones: 0, pp: 1.000000, history: 00000000000000000000
247555: 244, zeros: 244, ones: 0, pp: 1.000000, history: 00000000000000000000
250115: 543, zeros: 543, ones: 0, pp: 1.000000, history: 00000000000000000000
250137: 116, zeros: 116, ones: 0, pp: 1.000000, history: 00000000000000000000
250410: 1869, zeros: 1869, ones: 0, pp: 1.000000, history: 00000000000000000000
250417: 211, zeros: 211, ones: 0, pp: 1.000000, history: 00000000000000000000
